set,set_names,release_date,type,year,future_date,test
10E,Tenth Edition,2007-07-13,core,2007,2007-09-21,0
AER,Aether Revolt,2017-01-20,expansion,2017,2017-03-31,0
AKH,Amonkhet,2017-04-28,expansion,2017,2017-07-07,0
ALA,Shards of Alara,2008-10-03,expansion,2008,2008-12-12,0
ARB,Alara Reborn,2009-04-30,expansion,2009,2009-07-09,0
AVR,Avacyn Restored,2012-05-04,expansion,2012,2012-07-13,0
BFZ,Battle for Zendikar,2015-10-02,expansion,2015,2015-12-11,0
BNG,Born of the Gods,2014-02-07,expansion,2014,2014-04-18,0
CON,Conflux,2009-02-06,expansion,2009,2009-04-17,0
CSP,Coldsnap,2006-07-21,expansion,2006,2006-09-29,0
DGM,Dragon's Maze,2013-05-03,expansion,2013,2013-07-12,0
DIS,Dissension,2006-05-05,expansion,2006,2006-07-14,0
DKA,Dark Ascension,2012-02-03,expansion,2012,2012-04-13,0
DOM,Dominaria,2018-04-27,expansion,2018,2018-07-06,0
DTK,Dragons of Tarkir,2015-03-27,expansion,2015,2015-06-05,0
ELD,Throne of Eldraine,2019-10-04,expansion,2019,2019-12-13,0
EMN,Eldritch Moon,2016-07-22,expansion,2016,2016-09-30,0
EVE,Eventide,2008-07-25,expansion,2008,2008-10-03,0
FRF,Fate Reforged,2015-01-23,expansion,2015,2015-04-03,0
FUT,Future Sight,2007-05-04,expansion,2007,2007-07-13,0
GPT,Guildpact,2006-02-03,expansion,2006,2006-04-14,0
GRN,Guilds of Ravnica,2018-10-05,expansion,2018,2018-12-14,0
GTC,Gatecrash,2013-02-01,expansion,2013,2013-04-12,0
HOU,Hour of Devastation,2017-07-14,expansion,2017,2017-09-22,0
IKO,Ikoria: Lair of Behemoths,2020-04-24,expansion,2020,2020-07-03,0
ISD,Innistrad,2011-09-30,expansion,2011,2011-12-09,0
JOU,Journey into Nyx,2014-05-02,expansion,2014,2014-07-11,0
KLD,Kaladesh,2016-09-30,expansion,2016,2016-12-09,0
KTK,Khans of Tarkir,2014-09-26,expansion,2014,2014-12-05,0
LRW,Lorwyn,2007-10-12,expansion,2007,2007-12-21,0
M10,Magic 2010,2009-07-17,core,2009,2009-09-25,0
M11,Magic 2011,2010-07-16,core,2010,2010-09-24,0
M12,Magic 2012,2011-07-15,core,2011,2011-09-23,0
M13,Magic 2013,2012-07-13,core,2012,2012-09-21,0
M14,Magic 2014,2013-07-19,core,2013,2013-09-27,0
M15,Magic 2015,2014-07-18,core,2014,2014-09-26,0
M19,Core Set 2019,2018-07-13,core,2018,2018-09-21,0
M20,Core Set 2020,2019-07-12,core,2019,2019-09-20,0
M21,Core Set 2021,2020-07-03,core,2020,2020-09-11,0
MBS,Mirrodin Besieged,2011-02-04,expansion,2011,2011-04-15,0
MOR,Morningtide,2008-02-01,expansion,2008,2008-04-11,0
NPH,New Phyrexia,2011-05-13,expansion,2011,2011-07-22,0
OGW,Oath of the Gatewatch,2016-01-22,expansion,2016,2016-04-01,0
ORI,Magic Origins,2015-07-17,core,2015,2015-09-25,0
PLC,Planar Chaos,2007-02-02,expansion,2007,2007-04-13,0
RIX,Rivals of Ixalan,2018-01-19,expansion,2018,2018-03-30,0
RNA,Ravnica Allegiance,2019-01-25,expansion,2019,2019-04-05,0
ROE,Rise of the Eldrazi,2010-04-23,expansion,2010,2010-07-02,0
RTR,Return to Ravnica,2012-10-05,expansion,2012,2012-12-14,0
SHM,Shadowmoor,2008-05-02,expansion,2008,2008-07-11,0
SOI,Shadows over Innistrad,2016-04-08,expansion,2016,2016-06-17,0
SOM,Scars of Mirrodin,2010-10-01,expansion,2010,2010-12-10,0
THB,Theros Beyond Death,2020-01-24,expansion,2020,2020-04-03,0
THS,Theros,2013-09-27,expansion,2013,2013-12-06,0
TSB,Time Spiral Timeshifted,2006-10-06,expansion,2006,2006-12-15,0
TSP,Time Spiral,2006-10-06,expansion,2006,2006-12-15,0
WAR,War of the Spark,2019-05-03,expansion,2019,2019-07-12,0
WWK,Worldwake,2010-02-05,expansion,2010,2010-04-16,0
XLN,Ixalan,2017-09-29,expansion,2017,2017-12-08,0
ZEN,Zendikar,2009-10-02,expansion,2009,2009-12-11,0
ZNR,Zendikar Rising,2020-09-25,expansion,2020,2020-12-04,1
