id,future_price
00040b50-3b84-5cea-b663-70038b87fa08,0.31
00087aa5-4199-58ba-8e06-7acb796060cb,0.19
00146a3c-53c0-561c-ba57-0ebd9876eb57,0.89
001d0853-bf7f-5be5-bfb8-d4114f3a53c7,0.5
00205972-7dfb-5c93-8296-091af94d22f1,0.13
002688ac-e3a4-5bc4-a612-8d0d91de9b75,0.17
002ca814-c13f-50ae-a453-5d413b4d0fc4,0.15
002caf05-1da9-593c-a6c3-824817ff5208,4.18
002e6438-65e7-5131-816d-c3eed3600123,0.16
002fcac9-6633-5bb0-bab0-57a920ce7d56,0.15
00350343-bcd9-5a0c-972b-7c02f02926b1,0.16
004ea957-6268-5e4f-a3ae-491accf62761,0.12
0052a6c6-4279-5c04-8d20-9c9893d2aa26,0.98
0056d6e4-cfd9-5b94-b36c-798ac3ce8899,0.76
005a975d-6519-5feb-817a-9b606684a171,0.2
005cc47d-3192-5b04-aac3-98e31b940824,0.22
005d8d50-4a03-5f9f-9ede-07b0255f3f5c,0.15
006292e3-e1d5-5c19-b3dc-1cc0174a2380,0.69
0062a781-25c5-58d1-8b19-1690c15319e6,0.18
006fbd9e-aed0-5ccf-a62f-9a791e9c15a7,0.25
0075c27c-abdf-503e-9629-9d3080be5b15,1.41
0075ea63-ea40-5e3a-938b-ab3b88acf011,3.72
007a46ff-49dc-58f2-8107-c225e3171585,0.17
008d4f50-38c2-5b57-9e8f-9d85692167e9,14
00922ac3-2e47-543f-b3b3-c49fb4843a67,0.25
009a7f95-4de3-5466-a608-8195abd5c503,7.95
009f7381-95a1-5080-b0e0-8f87e46f1e68,0.13
00a6efa0-ea60-5eb5-89e0-b8acc027021a,0.13
00d34ac1-d681-5570-87c7-185cdf671a13,0.14
00e51520-f020-51dc-98e3-35fcfde28150,0.18
00e5461a-b77d-5590-8674-98e78f411105,0.15
00ecdefd-0445-576e-a9a5-f5b21aa177e9,0.23
00fe5d08-4ea4-51bf-a6b0-ed1092fc4154,0.14
01011108-8c88-51fd-a389-fe78a12cfa26,0.99
01017a51-4918-56c4-83eb-2f88895b7eed,2.37
01145ca6-386c-53cf-90bc-413ca9c061a9,0.14
0133c0c6-2669-58d6-a87d-79d5c54ef841,0.14
0136b95a-5ee4-5ae6-a18d-b6f49d682808,0.11
01486b5b-a142-5a85-9ff2-dd3fb6d28e96,0.15
014d4ee3-e4e5-5a43-8308-7a4901f73d0b,0.15
015c12ab-8657-5607-afcf-506b2e6d684f,0.13
01634801-dc80-54a0-a24f-5c115834b0ef,0.15
01658f63-32da-57f1-bc3d-df96e9c31398,0.1
01863f99-8ad6-559a-9f68-fc5120914d68,0.26
01968b28-351f-566f-8b16-8ed4d615a784,0.16
01ada4be-b483-55ce-be35-1518e8c05c65,0.21
01bbdc8c-7768-58f1-b975-47c70e01ab51,1.71
01be7d4c-3237-5803-8d43-3d1cb616da26,0.21
01c853d8-075b-55bb-bb58-df8f43e1915d,5.79
01c89e31-62d7-5173-96d8-0a4c7328388f,0.49
01ce0e4c-7421-5e8c-a4d6-348b214ac369,0.15
01de6b1e-83f2-5f8a-866b-0458845fc5f0,0.13
01f09003-cb49-5242-ab29-320fe9e3710a,0.19
01f77b29-2d70-5b43-a316-088cb1abd232,0.1
01fa0be5-3ba8-5cb8-9d0c-31bb979e6119,2.19
02066e44-e1e9-55e7-862e-ba22b0b9619a,0.14
020a022d-191e-54ac-a5d4-47e546bfcdd0,0.15
020ab66c-b691-54aa-bfbd-73c9c97176f8,4.73
0218fb7f-b477-5464-92b2-c8327eebb7c4,0.35
021a661f-64e2-5ab8-9973-6cacfb0827c8,1.64
0236acca-0963-5bdf-b62a-c389b8d722a1,3.79
02376c0c-4658-5640-911b-07fe44c15464,1.72
02441c21-8fa5-556c-a439-bda9c0630268,0.15
02448750-278a-59f6-8574-45cf51f87ab8,0.19
02492bd5-b84f-5cea-b5f6-e9e49c2d73bb,21.1
026389ea-4619-5116-a0ee-e836d8f90354,0.14
0267a594-1a4a-5db9-a27d-549a20b3164e,0.55
026b6180-aac0-558e-abca-de9a1348c44e,0.1
026e1879-aa78-5909-b656-910e2ffceba1,0.13
026e4c5e-87ff-51b6-ac19-94a427d6e308,0.2
026fce7e-aaa5-5078-bb76-9dc9e292800e,0.15
02709d29-d2ab-50ea-a9c0-d3cbdf7f76bd,0.13
