Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,20692.48046875,20759.0390625,19860.48046875,19970.560546875,18463.65625,19.0
2010-02-12,20572.16015625,20728.3203125,20154.880859375,20339.19921875,18804.474609375,14.0
2010-02-16,19809.279296875,19824.640625,19095.0390625,19166.720703125,17720.466796875,24.0
2010-02-17,19002.880859375,19056.640625,18810.880859375,18905.599609375,17479.05078125,22.0
2010-02-18,18979.83984375,18979.83984375,18380.80078125,18416.640625,17026.984375,93.0
2010-02-19,18549.759765625,18670.080078125,18168.3203125,18365.439453125,16979.650390625,220.0
2010-02-22,18168.3203125,18488.3203125,18168.3203125,18462.720703125,17069.591796875,38.0
2010-02-23,18529.279296875,18992.640625,18293.759765625,18977.279296875,17545.322265625,132.0
2010-02-24,18785.279296875,18887.6796875,18360.3203125,18470.400390625,17076.693359375,189.0
2010-02-25,19304.9609375,19425.279296875,18711.0390625,18711.0390625,17299.17578125,178.0
2010-02-26,18677.759765625,18982.400390625,18567.6796875,18711.0390625,17299.17578125,139.0
2010-03-01,18485.759765625,18552.3203125,18237.439453125,18301.439453125,16920.48046875,80.0
2010-03-02,18176.0,18327.0390625,18035.19921875,18311.6796875,16929.947265625,110.0
2010-03-03,18147.83984375,18396.16015625,17971.19921875,18319.359375,16937.048828125,70.0
2010-03-04,18211.83984375,18278.400390625,18048.0,18060.80078125,16697.998046875,47.0
2010-03-05,17920.0,17920.0,17405.439453125,17428.48046875,16113.3876953125,318.0
2010-03-08,17423.359375,17500.16015625,17423.359375,17495.0390625,16174.92578125,31.0
2010-03-09,17510.400390625,17528.3203125,17254.400390625,17418.240234375,16103.9189453125,83.0
2010-03-10,17369.599609375,17512.9609375,17254.400390625,17384.9609375,16073.1513671875,75.0
2010-03-11,17461.759765625,17635.83984375,17154.560546875,17154.560546875,15860.1416015625,101.0
2010-03-12,16939.51953125,17213.439453125,16939.51953125,17093.119140625,15803.3330078125,172.0
2010-03-15,17131.51953125,17290.240234375,16995.83984375,17003.51953125,15720.49609375,52.0
2010-03-16,16924.16015625,17082.880859375,16752.640625,16752.640625,15488.5478515625,122.0
2010-03-17,16668.16015625,16668.16015625,16407.0390625,16583.6796875,15332.3349609375,69.0
2010-03-18,16514.560546875,16532.48046875,16330.240234375,16353.2802734375,15119.3212890625,71.0
2010-03-19,16535.0390625,16698.880859375,16174.080078125,16535.0390625,15287.36328125,144.0
2010-03-22,16701.439453125,16724.48046875,16227.83984375,16286.7197265625,15057.7822265625,127.0
