
1,MSFT,Microsoft Corporation,"2,954.92B",397.58,-2.69%,227.58B
2,AAPL,Apple Inc,"2,851.17B",184.40,-1.94%,383.29B
3,GOOG,Alphabet Inc.,"1,766.50B",141.80,-7.35%,307.39B
4,GOOGL,Alphabet Inc.,"1,760.44B",140.10,-7.50%,307.39B
5,AMZN,"Amazon.com, Inc.","1,603.84B",155.20,-2.39%,554.03B
6,NVDA,NVIDIA Corporation,"1,519.72B",615.27,-1.99%,44.87B
7,META,"Meta Platforms, Inc.","1,002.61B",390.14,-2.48%,126.96B
8,BRK.B,Berkshire Hathaway Inc.,833.49B,383.74,-0.88%,401.78B
9,LLY,Eli Lilly and Company,612.88B,645.61,0.10%,32.07B
10,TSLA,"Tesla, Inc.",596.48B,187.29,-2.24%,96.77B
11,AVGO,Broadcom Inc.,552.41B,"1,180.00",-2.33%,35.82B
12,V,Visa Inc.,548.66B,273.26,-1.40%,33.35B
13,JPM,JPMorgan Chase & Co.,504.08B,174.36,-1.08%,148.78B
14,UNH,UnitedHealth Group Incorporated,473.32B,511.74,1.61%,359.98B
15,WMT,Walmart Inc.,444.89B,165.25,-0.21%,638.79B
16,MA,Mastercard Incorporated,417.98B,449.23,0.91%,24.37B
17,XOM,Exxon Mobil Corporation,410.91B,102.81,-1.95%,355.67B
18,JNJ,Johnson & Johnson,382.52B,158.90,0.08%,95.33B
19,PG,The Procter & Gamble Company,369.75B,157.14,-0.22%,83.93B
20,HD,"The Home Depot, Inc.",351.29B,352.96,-1.16%,153.71B
21,COST,Costco Wholesale Corporation,308.34B,694.88,-0.84%,245.65B
22,ORCL,Oracle Corporation,307.05B,111.70,-2.15%,51.63B
23,MRK,"Merck & Co., Inc.",306.06B,120.78,-0.72%,59.31B
24,ABBV,AbbVie Inc.,290.25B,164.40,-0.32%,55.14B
25,ADBE,Adobe Inc.,279.24B,617.78,-1.62%,19.41B
26,CVX,Chevron Corporation,277.47B,147.43,-1.79%,210.24B
27,CRM,"Salesforce, Inc.",272.10B,281.09,-2.31%,33.95B
28,AMD,"Advanced Micro Devices, Inc.",270.90B,167.69,-2.54%,22.68B
29,BAC,Bank of America Corporation,269.15B,34.01,-2.24%,101.15B
30,KO,The Coca-Cola Company,257.20B,59.49,-0.68%,45.03B
31,NFLX,"Netflix, Inc.",246.90B,564.11,0.22%,33.72B
32,PEP,"PepsiCo, Inc.",231.71B,168.53,-0.64%,91.62B
33,ACN,Accenture plc,228.15B,363.88,-2.00%,64.59B
34,MCD,McDonald's Corporation,212.32B,292.72,-0.66%,25.01B
35,TMO,Thermo Fisher Scientific Inc.,208.25B,538.98,-4.96%,43.42B
36,CSCO,"Cisco Systems, Inc.",203.91B,50.18,-3.94%,58.03B
